"","Code","Name","IPO_Date","Forty4","Days","FirstHslRe","PE","APS","Rate"
"371","001979.SZ","招商蛇口","2015-12-30",FALSE,0,0,0,0,0
"372","603508.SH","思维列控","2015-12-24",TRUE,12,24.388756783123,22.99,13.35,0.3997
"373","002785.SZ","万里石","2015-12-23",TRUE,23,23.1481481481481,22.9,3.05,0.1783
"374","002786.SZ","银宝山新","2015-12-23",TRUE,13,21.7656324909253,22.81,7.22,0.2366
"375","300492.SZ","山鼎设计","2015-12-23",TRUE,17,45.217391304347,22.96,3.35,0.1883
"376","603866.SH","桃李面包","2015-12-22",TRUE,11,11.7220312499999,22.98,3.56,0.408
"377","603996.SH","中新科技","2015-12-22",TRUE,14,20.0400000000002,22.96,6.49,0.2387
"378","002781.SZ","奇信股份","2015-12-22",TRUE,13,25.7128164104909,20.35,6.54,0.2683
"379","002782.SZ","可立克","2015-12-22",TRUE,17,25.3571428571428,22.97,4.36,0.2229
"380","300495.SZ","美尚生态","2015-12-22",TRUE,13,19.4186046511628,20.27,13.72,0.2913
"381","300497.SZ","富祥股份","2015-12-22",TRUE,15,10.9622411693058,21.79,7.55,0.1627
"382","603800.SH","道森股份","2015-12-10",TRUE,15,18.5053380782917,21.15,4.86,0.3156
"383","603999.SH","读者传媒","2015-12-10",TRUE,16,17.8041543026705,19.85,6.18,0.2545
"384","300493.SZ","润欣科技","2015-12-10",TRUE,22,30.0000000000003,22.97,3.71,0.147
"385","300496.SZ","中科创达","2015-12-10",TRUE,21,26.8788302333082,22.99,9.01,0.2368
"386","603398.SH","邦宝益智","2015-12-09",TRUE,20,21.4285714285713,22.99,5.16,0.2318
"387","603696.SH","安记食品","2015-12-09",TRUE,16,12.7118644067796,22.95,5.35,0.2761
"388","603936.SH","博敏电子","2015-12-09",TRUE,16,18.5176991150444,22.98,5.14,0.234
"389","002779.SZ","中坚科技","2015-12-09",TRUE,16,14.3790849673202,18.97,6.44,0.1621
"390","002780.SZ","三夫户外","2015-12-09",TRUE,23,18.0851063829787,22.95,5.05,0.1484
"391","002783.SZ","凯龙股份","2015-12-09",TRUE,15,6.26726726726739,22.98,14.56,0.218
"392","601155.SH","新城控股","2015-12-04",TRUE,1,0.0300816416474119,NA,5.92,0
"393","300498.SZ","温氏股份","2015-11-02",TRUE,2,0.140948890558674,NA,4.6,0
"394","300480.SZ","光力科技","2015-07-02",TRUE,23,43.3880399924534,22.99,4.68,0.1599
"395","300487.SZ","蓝晓科技","2015-07-02",TRUE,10,18.018018018018,20.32,8,0.4727
"396","603838.SH","四通股份","2015-07-01",TRUE,5,27.3368317481144,22.96,4.34,0.2713
"397","300488.SZ","恒锋工具","2015-07-01",TRUE,5,40.3548387096767,19.3,8.6,0.1512
"398","300489.SZ","中飞股份","2015-07-01",TRUE,11,37.8333333333333,22.97,8.8667,0.4137
"399","603085.SH","天成自控","2015-06-30",TRUE,12,11.7370892018779,22.98,3.7,0.2724
"400","603223.SH","恒通股份","2015-06-30",TRUE,6,17.5459118025501,22.97,4.5,0.3463
"401","603979.SH","金诚信","2015-06-30",TRUE,4,11.8363837978594,22.98,8.9,0.7811
"402","002768.SZ","国恩股份","2015-06-30",TRUE,5,10.5814507168933,22.99,8.03,0.4373
"403","002770.SZ","科迪乳业","2015-06-30",TRUE,5,14.8692419730006,20.81,3.71,0.4942
"404","300481.SZ","濮阳惠成","2015-06-30",TRUE,6,20.2020202020202,22.95,4.69,0.4675
"405","300482.SZ","万孚生物","2015-06-30",TRUE,14,40.7331975560082,18.56,8.23,0.3894
"406","300483.SZ","沃施股份","2015-06-30",TRUE,11,21.2328767123289,22.99,6.21,0.3154
"407","300486.SZ","东杰智能","2015-06-30",TRUE,5,26.30303030303,22.96,4.63,0.3668
"408","603116.SH","红蜻蜓","2015-06-29",TRUE,5,7.93522267206448,22.94,6.47,0.7693
"409","603117.SH","万林股份","2015-06-29",TRUE,7,21.2765957446809,22.98,3.13,0.3062
"410","603589.SH","口子窖","2015-06-29",TRUE,5,11.5384615384615,22.98,5.28,0.6946
"411","002769.SZ","普路通","2015-06-29",TRUE,7,12.5,19.64,11.65,0.4091
"412","002771.SZ","真视通","2015-06-29",TRUE,15,22.4693854623076,22.98,6.09,0.188
"413","002775.SZ","文科园林","2015-06-29",TRUE,6,11.1520017843203,22.98,8.37,0.4852
"414","601211.SH","国泰君安","2015-06-26",TRUE,3,7.37399653204556,22.99,9.4,1.5742
"415","002772.SZ","众兴菌业","2015-06-26",TRUE,7,16.6287219320566,22.98,6.19,0.2191
"416","002773.SZ","康弘药业","2015-06-26",TRUE,7,15.6701030927836,22.98,4.87,0.2304
"417","002776.SZ","柏堡龙","2015-06-26",TRUE,6,12.7946127946128,22.98,9.22,0.6035
"418","300485.SZ","赛升药业","2015-06-26",TRUE,6,16.5745856353592,22.99,14.4,0.3663
"419","601368.SH","绿城水务","2015-06-12",TRUE,10,71.3592233009702,22.96,3.24,0.2955
"420","002765.SZ","蓝黛传动","2015-06-12",TRUE,10,46.8426267903791,22.98,4.48,0.2883
"421","002767.SZ","先锋电子","2015-06-12",TRUE,10,43.1034482758621,22.43,6.11,0.3477
"422","300470.SZ","日机密封","2015-06-12",TRUE,10,32.5365853658538,21.84,14.04,0.3336
